Category,X,Y,int_time
BURGLARY,-122.414670783052,37.7742072167166,18
WARRANTS,-122.47768839030898,37.7634818583094,0
VEHICLE THEFT,-122.424412715064,37.7680054163824,20
DRUG/NARCOTIC,-122.435590528188,37.7805435736467,3
ASSAULT,-122.415754575208,37.780719182394,23
ASSAULT,-122.45353456066002,37.76916629780521,14
VEHICLE THEFT,-122.44507362473499,37.75991157837421,15
ASSAULT,-122.42263066197201,37.7838599994859,23
VANDALISM,-122.40340479147899,37.775420706711,20
ASSAULT,-122.397228698169,37.7329812473695,18
SUSPICIOUS OCC,-122.386437671186,37.7191834462785,18
ASSAULT,-122.42607958054501,37.7614267757472,20
NON-CRIMINAL,-122.406725329529,37.7585641691709,14
ASSAULT,-122.389991787451,37.7546183308558,20
WARRANTS,-122.419671780296,37.7650501214668,20
VEHICLE THEFT,-122.422982867121,37.7622299974939,3
FRAUD,-122.44808311497499,37.7323848075276,7
NON-CRIMINAL,-122.415508242782,37.7816542806076,14
ASSAULT,-122.462742150716,37.7208636413947,15
WARRANTS,-122.416446124049,37.7329162539537,22
SUSPICIOUS OCC,-122.40340479147899,37.775420706711,12
STOLEN PROPERTY,-122.403663463962,37.788894680211,17
ROBBERY,-122.43308971434999,37.72278844040071,11
VANDALISM,-122.426075178406,37.7269358521893,14
VANDALISM,-122.41316085097,37.7774566611807,22
ASSAULT,-122.49009343735901,37.780792084019396,11
ARSON,-122.407931930502,37.7995771094892,1
VANDALISM,-122.40901120663901,37.7811340568243,10
ASSAULT,-122.438519414468,37.719605303427,1
NON-CRIMINAL,-122.418587172219,37.75301865374461,22
WARRANTS,-122.445115134028,37.760020037063796,9
DRUG/NARCOTIC,-122.413564091744,37.779514030063,13
VEHICLE THEFT,-122.410768766343,37.7832145190013,0
NON-CRIMINAL,-122.40754585593099,37.784401179486,19
FRAUD,-122.41222632919902,37.7732855303603,19
VANDALISM,-122.415270023651,37.8058980113661,20
VANDALISM,-122.413869632554,37.7818621883021,22
OTHER OFFENSES,-122.444130152771,37.7174540504976,20
ASSAULT,-122.380835135185,37.7317397777806,15
VEHICLE THEFT,-122.435141514107,37.7206794283659,1
FORGERY/COUNTERFEITING,-122.41431785788099,37.7799444052046,22
STOLEN PROPERTY,-122.416374835778,37.7644225165568,17
ASSAULT,-122.401846367522,37.7790324136251,17
VANDALISM,-122.41044306731399,37.7709905424552,6
OTHER OFFENSES,-122.40340479147899,37.775420706711,17
MISSING PERSON,-122.443597047511,37.7826435280939,13
BURGLARY,-122.50798747365101,37.7756699073786,8
OTHER OFFENSES,-122.45561586153799,37.7238590120011,19
VEHICLE THEFT,-122.430567626759,37.721583433861106,9
OTHER OFFENSES,-122.421355374932,37.75937226884471,19
WARRANTS,-122.39856131455299,37.7820504139097,12
BURGLARY,-122.42556503049299,37.777087145985,13
ROBBERY,-122.405832474482,37.7857446545609,15
WARRANTS,-122.41013523637699,37.78418890752671,17
ASSAULT,-122.46795796278299,37.724200872852,15
NON-CRIMINAL,-122.413045971966,37.7738617771611,13
NON-CRIMINAL,-122.467630230392,37.7828011737968,15
FORGERY/COUNTERFEITING,-122.39635756583598,37.730337170258295,0
MISSING PERSON,-122.406725329529,37.7585641691709,10
MISSING PERSON,-122.411093822635,37.7610475742041,16
MISSING PERSON,-122.489012271756,37.7789096578094,9
"SEX OFFENSES, FORCIBLE",-122.435187699349,37.7626702770872,18
OTHER OFFENSES,-122.413583483648,37.7770436202636,12
ASSAULT,-122.41469551481,37.7596861764245,23
OTHER OFFENSES,-122.489855547355,37.76017846748029,15
WARRANTS,-122.420832650303,37.7479994493226,19
MISSING PERSON,-122.51033999219801,37.7640000597982,0
ASSAULT,-122.408208074644,37.7577327593893,19
ASSAULT,-122.42815115473,37.7815325510309,8
TRESPASS,-122.413434938269,37.7810130602185,5
NON-CRIMINAL,-122.45701616347401,37.7812163786666,12
WARRANTS,-122.406481972743,37.782731788488704,17
ASSAULT,-122.42446746767,37.7360604757326,12
VEHICLE THEFT,-122.41029351969,37.7822305870036,17
OTHER OFFENSES,-122.38847839624,37.741109286458,20
WARRANTS,-122.413210338057,37.79565784907621,5
BURGLARY,-122.456499413125,37.7246946719388,16
WARRANTS,-122.416389710283,37.7652491154383,12
MISSING PERSON,-122.45433010539601,37.7681530111159,15
VANDALISM,-122.422435540294,37.7917625983936,17
SECONDARY CODES,-122.41379097278099,37.783836556534794,3
SUSPICIOUS OCC,-122.507677597332,37.7537820039116,16
DRUNKENNESS,-122.42253647830601,37.7787958771466,18
NON-CRIMINAL,-122.463744066947,37.7809170537256,18
SUSPICIOUS OCC,-122.407413025963,37.787407412522796,23
TRESPASS,-122.433500504054,37.7625297461241,9
NON-CRIMINAL,-122.397811544423,37.720815965833104,22
VEHICLE THEFT,-122.444236571513,37.7941200264576,13
OTHER OFFENSES,-122.41382007017599,37.7857382950322,9
VANDALISM,-122.39998852115,37.78548734122921,11
SUSPICIOUS OCC,-122.415127837608,37.7797870676495,7
"SEX OFFENSES, FORCIBLE",-122.407633520742,37.7841893501425,14
OTHER OFFENSES,-122.415000536786,37.7620990020681,21
OTHER OFFENSES,-122.40449925232599,37.7646644599554,17
ASSAULT,-122.418918390218,37.7859407304209,15
ASSAULT,-122.419448185224,37.7802091894281,13
VEHICLE THEFT,-122.39984969711,37.79826790178621,11
OTHER OFFENSES,-122.43043855451599,37.7590176591842,12
BURGLARY,-122.440375167502,37.7789754234886,20
OTHER OFFENSES,-122.469909562456,37.7845705993189,23
OTHER OFFENSES,-122.45049238436701,37.7696094511519,18
NON-CRIMINAL,-122.41657266748301,37.7563562905072,22
WARRANTS,-122.408595110869,37.7837069301545,18
VEHICLE THEFT,-122.43894362395399,37.7616771433751,3
NON-CRIMINAL,-122.474335779148,37.78660924981021,13
NON-CRIMINAL,-122.46620466789301,37.7725405391593,12
MISSING PERSON,-122.43476428669202,37.7226161363136,16
OTHER OFFENSES,-122.448959925357,37.735092193510106,12
"SEX OFFENSES, FORCIBLE",-122.415910622743,37.7839999167561,9
BURGLARY,-122.39705592966999,37.7586844897791,2
WARRANTS,-122.433699281627,37.8045519866135,7
DRIVING UNDER THE INFLUENCE,-122.480368298354,37.7484541996522,2
FRAUD,-122.43422900395299,37.763485013784596,19
NON-CRIMINAL,-122.415910622743,37.7839999167561,9
NON-CRIMINAL,-122.417511996621,37.754691084878004,14
OTHER OFFENSES,-122.39014671643999,37.7363908050669,8
OTHER OFFENSES,-122.402701071833,37.7463358668696,20
SECONDARY CODES,-122.497242493708,37.7513958957007,15
FRAUD,-122.45258693865601,37.7864601412645,16
SECONDARY CODES,-122.452289660492,37.72569335757029,11
OTHER OFFENSES,-122.392773013909,37.7770867759344,1
ASSAULT,-122.45353456066002,37.76916629780521,8
VANDALISM,-122.37551296863501,37.730806609582,20
OTHER OFFENSES,-122.461994155503,37.7646963394397,15
SUSPICIOUS OCC,-122.432116233695,37.7800304351156,9
RECOVERED VEHICLE,-122.40659720451099,37.7434834450064,22
SUSPICIOUS OCC,-122.389849114797,37.7304741509374,12
WARRANTS,-122.386995296821,37.7345066503794,20
NON-CRIMINAL,-122.40071180486,37.80238450205921,0
ASSAULT,-122.40498359934999,37.79578633623979,13
WEAPON LAWS,-122.39143178651301,37.735284241529705,13
NON-CRIMINAL,-122.403070000847,37.7852686309087,12
NON-CRIMINAL,-122.40684183531401,37.77587129042521,20
ASSAULT,-122.420120319204,37.787757060241105,1
OTHER OFFENSES,-122.481825737446,37.7549230942143,23
NON-CRIMINAL,-122.40901120663901,37.7811340568243,14
FRAUD,-122.408231026261,37.787359494956,18
DRUG/NARCOTIC,-122.461169042517,37.720942217075404,17
NON-CRIMINAL,-122.42727343255699,37.767776112769496,12
NON-CRIMINAL,-122.446165617978,37.7701611813393,15
DRUG/NARCOTIC,-122.411141948101,37.7850736197499,21
DRUG/NARCOTIC,-122.421624611377,37.7359058118447,14
DRUG/NARCOTIC,-122.411953083611,37.8058242949274,8
OTHER OFFENSES,-122.47827820633199,37.7209451616295,9
VEHICLE THEFT,-122.409987524893,37.76111425118629,22
OTHER OFFENSES,-122.456295846469,37.781380088012796,2
NON-CRIMINAL,-122.464279879446,37.7800332991006,14
ASSAULT,-122.436724043712,37.721435763041,22
OTHER OFFENSES,-122.408195421597,37.7536414673004,9
MISSING PERSON,-122.433084166837,37.7851499161537,10
OTHER OFFENSES,-122.45353456066002,37.76916629780521,16
SUSPICIOUS OCC,-122.468341051164,37.722658378849204,13
WARRANTS,-122.435012093789,37.761767718295395,18
BURGLARY,-122.392594838081,37.773491307891796,17
ROBBERY,-122.405065483077,37.7980134745487,16
BURGLARY,-122.443584639717,37.7741979150087,16
OTHER OFFENSES,-122.39663751363001,37.7644825743361,13
WARRANTS,-122.39036278762501,37.7251689206602,14
NON-CRIMINAL,-122.443985187146,37.805580827662,9
NON-CRIMINAL,-122.44117835253701,37.8001881690514,22
WARRANTS,-122.41050925879499,37.786043222299206,6
NON-CRIMINAL,-122.40968619183701,37.7862042105295,22
DRUG/NARCOTIC,-122.391245623019,37.7332252032804,16
ASSAULT,-122.403434086745,37.78764305018,23
VANDALISM,-122.43363939685,37.71475331846121,12
NON-CRIMINAL,-122.464279879446,37.7800332991006,17
STOLEN PROPERTY,-122.423720585924,37.7595636303735,4
VANDALISM,-122.480990350137,37.7324701147398,2
VEHICLE THEFT,-122.472130727218,37.75339071679321,19
MISSING PERSON,-122.41988493945699,37.77825108324121,10
OTHER OFFENSES,-122.412784096502,37.78486569395261,12
NON-CRIMINAL,-122.439631497808,37.7752461296233,14
OTHER OFFENSES,-122.410157073911,37.784297384331204,14
MISSING PERSON,-122.492903087989,37.7749629647565,10
OTHER OFFENSES,-122.431911314361,37.7876963043757,0
VANDALISM,-122.40255295786501,37.78847491468029,4
NON-CRIMINAL,-122.398580716544,37.754287678154704,19
OTHER OFFENSES,-122.401055856585,37.7985811020841,17
WARRANTS,-122.42481019068998,37.777602159399,2
SUSPICIOUS OCC,-122.47741665632601,37.75232753829,16
DISORDERLY CONDUCT,-122.405828840501,37.7684749112706,11
TRESPASS,-122.41619920450199,37.7891587712961,9
MISSING PERSON,-122.407999186749,37.7778241673064,16
OTHER OFFENSES,-122.39026201550199,37.7591168554234,10
NON-CRIMINAL,-122.409268441444,37.7837998723601,8
ASSAULT,-122.433784764382,37.7802873652863,14
SUSPICIOUS OCC,-122.407695601664,37.7793169815841,13
NON-CRIMINAL,-122.393289592936,37.7784284783975,20
VANDALISM,-122.41808918542499,37.8069115312916,18
SECONDARY CODES,-122.494902902871,37.7720802079053,21
ROBBERY,-122.43526519861601,37.8000616729806,1
DRUG/NARCOTIC,-122.413706517535,37.7814229318029,13
OTHER OFFENSES,-122.418627639566,37.7443787798501,17
VEHICLE THEFT,-122.40340479147899,37.775420706711,23
OTHER OFFENSES,-122.43761276619101,37.7740604119579,23
ROBBERY,-122.441018108888,37.7164586830811,12
NON-CRIMINAL,-122.410774214375,37.8084350175869,7
NON-CRIMINAL,-122.462163702961,37.766108463453,16
WARRANTS,-122.39624212079201,37.7213661801557,7
NON-CRIMINAL,-122.41247549326201,37.8000308579216,19
OTHER OFFENSES,-122.42900829934099,37.7941345374661,0
MISSING PERSON,-122.466458192036,37.743577781095,8
RECOVERED VEHICLE,-122.41029351969,37.7822305870036,1
OTHER OFFENSES,-122.434865853498,37.7772809749441,12
OTHER OFFENSES,-122.419387180576,37.7837899781799,10
WARRANTS,-122.405395493939,37.7835100715421,22
OTHER OFFENSES,-122.434956691087,37.77349986212271,2
BURGLARY,-122.4169801816,37.7809770123705,6
OTHER OFFENSES,-122.402459634951,37.7121817273679,18
ASSAULT,-122.41248627649,37.773001280588005,21
RECOVERED VEHICLE,-122.476891055349,37.758877467076296,21
SUSPICIOUS OCC,-122.404282497745,37.7982249345487,12
WARRANTS,-122.41235403382099,37.7582176613659,13
WARRANTS,-122.403322520128,37.7928366196806,7
WARRANTS,-122.41257364320101,37.7834687204586,2
NON-CRIMINAL,-122.428355366652,37.7612577113414,9
OTHER OFFENSES,-122.39299870281799,37.7822551330244,4
VEHICLE THEFT,-122.43385046273701,37.7972979491885,12
NON-CRIMINAL,-122.446165617978,37.7701611813393,4
WEAPON LAWS,-122.423949155504,37.7643823011045,22
SUSPICIOUS OCC,-122.437262577518,37.7808016285055,16
BURGLARY,-122.469714056815,37.743367021208,5
VEHICLE THEFT,-122.440285715179,37.7120679642263,0
NON-CRIMINAL,-122.42636199242901,37.7726818428837,22
ASSAULT,-122.386768853234,37.7307541873099,1
BURGLARY,-122.415881424989,37.7727413124227,0
OTHER OFFENSES,-122.435012093789,37.761767718295395,8
VANDALISM,-122.386029207283,37.728444175121396,18
SECONDARY CODES,-122.403644220317,37.71796251350021,2
ASSAULT,-122.440906571765,37.731680654848,10
NON-CRIMINAL,-122.41367937688801,37.7809258336852,23
BURGLARY,-122.456893875278,37.734041255810496,21
VANDALISM,-122.425010799925,37.73087816539979,21
NON-CRIMINAL,-122.460152208945,37.720945420187896,17
VEHICLE THEFT,-122.40979743014799,37.7864220856559,11
MISSING PERSON,-122.503532566149,37.7796037333321,18
MISSING PERSON,-122.407999186749,37.7778241673064,13
"SEX OFFENSES, FORCIBLE",-122.42879724776002,37.7218736245569,0
WARRANTS,-122.421798040888,37.7964404207928,17
WARRANTS,-122.40340479147899,37.775420706711,20
WARRANTS,-122.37934537972001,37.73574190685721,20
ASSAULT,-122.43040601976699,37.7182881551417,21
BURGLARY,-122.442588687566,37.8028234644712,15
ROBBERY,-122.42675653360001,37.8039352307409,16
NON-CRIMINAL,-122.43448505565901,37.775416568770396,17
NON-CRIMINAL,-122.475235457624,37.782456993473396,11
ASSAULT,-122.393326499811,37.791873623989,22
WARRANTS,-122.41965834371,37.7642205603745,7
MISSING PERSON,-122.43476428669202,37.7226161363136,22
OTHER OFFENSES,-122.411378573151,37.801125426297,16
VEHICLE THEFT,-122.40668105726499,37.755343095442,17
WARRANTS,-122.365565425353,37.8096707013239,8
VEHICLE THEFT,-122.40982068064501,37.8050816627849,15
ASSAULT,-122.43357443590901,37.7712393589919,19
OTHER OFFENSES,-122.453376250788,37.7687142722405,21
NON-CRIMINAL,-122.461757386283,37.7831172548658,14
ASSAULT,-122.39492263846,37.7268838000332,19
FRAUD,-122.40543208350701,37.7973086273284,18
VEHICLE THEFT,-122.43178467706998,37.7995265853422,19
OTHER OFFENSES,-122.41251534135598,37.78047774805079,16
WARRANTS,-122.413609328985,37.784696907904,20
DRUG/NARCOTIC,-122.40950430935,37.781526271747,15
FORGERY/COUNTERFEITING,-122.403535460378,37.7878244847404,13
SUSPICIOUS OCC,-122.431289969136,37.7720549755537,21
VANDALISM,-122.41274139742599,37.7123588004385,11
RECOVERED VEHICLE,-122.395891602231,37.75723746835821,17
WEAPON LAWS,-122.41881021180299,37.7741251002903,12
DRUG/NARCOTIC,-122.44855075067301,37.769313564495,15
DRUG/NARCOTIC,-122.415508242782,37.7816542806076,15
VEHICLE THEFT,-122.42501875900601,37.7994323347034,10
WEAPON LAWS,-122.42040246368299,37.7891643767731,20
ASSAULT,-122.408761072232,37.7159000951041,17
BURGLARY,-122.410111373792,37.7786320490341,12
WARRANTS,-122.42124301162,37.7404397369084,19
OTHER OFFENSES,-122.466681423613,37.7272378827986,22
NON-CRIMINAL,-122.403972700548,37.79450338163579,10
DRUG/NARCOTIC,-122.391090325597,37.736908565728704,9
ASSAULT,-122.434906576836,37.769525362231896,13
MISSING PERSON,-122.394438859914,37.73644389967321,10
TRESPASS,-122.424842738845,37.785765227641,20
ASSAULT,-122.40340479147899,37.775420706711,20
BURGLARY,-122.387779251837,37.7279423069627,11
ASSAULT,-122.48354914799499,37.7642044083861,9
VEHICLE THEFT,-122.46494471615601,37.774384171507,8
NON-CRIMINAL,-122.4449433994,37.7764876097644,17
ROBBERY,-122.407748570466,37.7936363546057,12
NON-CRIMINAL,-122.42631236570801,37.7696033128096,13
NON-CRIMINAL,-122.41125922846399,37.789789421954495,3
STOLEN PROPERTY,-122.411071423064,37.7817511307229,11
WARRANTS,-122.425221057967,37.8055600294296,0
ASSAULT,-122.38946181463301,37.7199285121253,23
VANDALISM,-122.507232084667,37.7715731425975,7
VANDALISM,-122.411593095704,37.78305295107821,11
OTHER OFFENSES,-122.395229211885,37.756577988934005,23
WARRANTS,-122.440253342983,37.716040010784894,11
ASSAULT,-122.501044497763,37.7357406736799,8
VANDALISM,-122.41365244359899,37.7283204476799,13
DRUG/NARCOTIC,-122.386304220968,37.7349050342849,11
NON-CRIMINAL,-122.468893816576,37.7206738011409,0
ASSAULT,-122.407877787733,37.785968007677496,1
OTHER OFFENSES,-122.48118317163001,37.7437268170337,15
VEHICLE THEFT,-122.411166899402,37.735071067556895,20
SUSPICIOUS OCC,-122.428006990942,37.7724726132375,22
WARRANTS,-122.406539115148,37.7564864109309,12
OTHER OFFENSES,-122.489879409244,37.7461650752937,21
VEHICLE THEFT,-122.409528258798,37.7260849566228,20
OTHER OFFENSES,-122.442795743643,37.7828833959001,17
NON-CRIMINAL,-122.430579280128,37.785412112566796,19
ASSAULT,-122.419671780296,37.7650501214668,0
OTHER OFFENSES,-122.40340479147899,37.775420706711,23
OTHER OFFENSES,-122.47500300921301,37.724912078558,0
BURGLARY,-122.420451998844,37.7085327739224,22
SUSPICIOUS OCC,-122.430838378403,37.7948418077407,7
NON-CRIMINAL,-122.42742811038201,37.738855162014495,19
SECONDARY CODES,-122.476031718561,37.7486451165898,12
ASSAULT,-122.416577792446,37.780614876154,21
WARRANTS,-122.40787711735202,37.7803875013555,12
DRUG/NARCOTIC,-122.4232625139,37.7427224817043,20
OTHER OFFENSES,-122.45353456066002,37.76916629780521,4
RECOVERED VEHICLE,-122.461422911465,37.7165269181456,9
OTHER OFFENSES,-122.40340479147899,37.775420706711,23
OTHER OFFENSES,-122.409313111431,37.784347851315104,20
MISSING PERSON,-122.3953866909,37.7668877225669,13
FRAUD,-122.448468213134,37.761741302406996,9
FRAUD,-122.406539115148,37.7564864109309,14
BURGLARY,-122.49286041935301,37.7300253397345,7
DRIVING UNDER THE INFLUENCE,-122.45417655784,37.78159927988379,3
OTHER OFFENSES,-122.45009225315201,37.7821146580299,4
DRUG/NARCOTIC,-122.409605982336,37.77772634147121,22
NON-CRIMINAL,-122.404365956101,37.7531213318501,15
SUSPICIOUS OCC,-122.42607958054501,37.7614267757472,1
ARSON,-122.43593090519899,37.7866495541341,23
SUSPICIOUS OCC,-122.417903977564,37.785167087551706,9
ASSAULT,-122.506714460434,37.735465762973,6
VANDALISM,-122.439874051543,37.7852471617812,12
FRAUD,-122.446432100907,37.750241057883,12
VEHICLE THEFT,-122.418201870328,37.7863251027379,19
NON-CRIMINAL,-122.39434785768,37.7499131969111,13
NON-CRIMINAL,-122.430421787109,37.759556498494,15
VEHICLE THEFT,-122.436782711222,37.7115160481069,17
FRAUD,-122.408068345148,37.7839916768161,18
SUSPICIOUS OCC,-122.44372671148399,37.787169527974,19
PROSTITUTION,-122.422062730264,37.789920001484106,15
VEHICLE THEFT,-122.410494382677,37.795485763803896,12
VEHICLE THEFT,-122.40640134508301,37.7149209346451,20
ASSAULT,-122.41431785788099,37.7799444052046,2
OTHER OFFENSES,-122.39429758628201,37.758850650029295,17
WARRANTS,-122.406539115148,37.7564864109309,13
NON-CRIMINAL,-122.470651486784,37.7517764708944,23
BURGLARY,-122.38152848338301,37.7268348144864,19
VEHICLE THEFT,-122.389738052686,37.76233188153721,6
DRUG/NARCOTIC,-122.400938602905,37.7209570165319,17
KIDNAPPING,-122.417768709913,37.80562245405221,12
OTHER OFFENSES,-122.409175171456,37.7920414139396,21
NON-CRIMINAL,-122.44694416363998,37.732389964546,11
ASSAULT,-122.444408875656,37.7095852410036,0
MISSING PERSON,-122.43476428669202,37.7226161363136,21
VANDALISM,-122.389347613957,37.71976330690779,9
OTHER OFFENSES,-122.416614060876,37.786777956045,15
WARRANTS,-122.39731452405701,37.732892025232,11
PROSTITUTION,-122.47430807989402,37.7166425332691,13
KIDNAPPING,-122.46644268420602,37.7659245297691,13
OTHER OFFENSES,-122.41335418701799,37.7690748003847,12
DRUG/NARCOTIC,-122.398088929937,37.7335006841226,8
ASSAULT,-122.419212198636,37.7610244167023,8
BURGLARY,-122.435041282959,37.72425604704209,19
RECOVERED VEHICLE,-122.38948547275,37.7875433617805,10
FRAUD,-122.443979044079,37.7511291321979,10
MISSING PERSON,-122.452839772389,37.7745145380854,7
NON-CRIMINAL,-122.491244115905,37.742420953286796,10
VANDALISM,-122.416517427405,37.7330103867416,20
ASSAULT,-122.393212316329,37.7187625653025,0
WEAPON LAWS,-122.396716088144,37.754859882842496,21
OTHER OFFENSES,-122.425891675136,37.7745985956747,8
ROBBERY,-122.400218868349,37.7877523788601,22
NON-CRIMINAL,-122.416349428183,37.7825569563078,14
DRUG/NARCOTIC,-122.410345341262,37.785230998983295,3
WARRANTS,-122.430466314217,37.760760560539495,19
ASSAULT,-122.43718097078,37.7760838211857,15
MISSING PERSON,-122.396858750644,37.7313137574551,20
FRAUD,-122.426076101692,37.7963205403,22
NON-CRIMINAL,-122.38929689255801,37.759151407091295,0
NON-CRIMINAL,-122.420641893733,37.7819608221838,2
ASSAULT,-122.41920824950701,37.7602340753605,1
OTHER OFFENSES,-122.405065483077,37.7980134745487,20
DRUG/NARCOTIC,-122.485468648881,37.7435384267991,12
OTHER OFFENSES,-122.462674029134,37.7745760999974,10
MISSING PERSON,-122.395891602231,37.75723746835821,20
WARRANTS,-122.43611530204201,37.7608228396674,14
VANDALISM,-122.45231467136699,37.7329982565065,21
FRAUD,-122.39239340391501,37.733745156808894,0
RECOVERED VEHICLE,-122.40966273139799,37.776510259917295,22
ASSAULT,-122.380348349699,37.7288276251864,17
FRAUD,-122.412075501697,37.7916201314541,21
FRAUD,-122.442038694776,37.800136284787996,9
OTHER OFFENSES,-122.461062711176,37.7811580519204,21
OTHER OFFENSES,-122.413869632554,37.7818621883021,1
OTHER OFFENSES,-122.49346849500601,37.7295950708457,16
SUSPICIOUS OCC,-122.427249032635,37.7309018767144,0
OTHER OFFENSES,-122.416720982004,37.7571677817188,1
OTHER OFFENSES,-122.40340479147899,37.775420706711,15
OTHER OFFENSES,-122.42960728864401,37.750359092221295,12
OTHER OFFENSES,-122.41071806030399,37.77895976335829,12
WARRANTS,-122.42361948889601,37.7717157193406,15
ASSAULT,-122.48560378101,37.7388214326705,18
OTHER OFFENSES,-122.406803042609,37.7577626731426,23
FRAUD,-122.435952893201,37.78675801255321,16
WARRANTS,-122.401427486084,37.7941982165402,21
OTHER OFFENSES,-122.389731237453,37.773098903832604,17
WARRANTS,-122.406092233116,37.7891339284094,8
DRUG/NARCOTIC,-122.42196597228501,37.76572144094671,2
OTHER OFFENSES,-122.405692279706,37.70990770230461,9
BURGLARY,-122.421844581151,37.80504855361461,18
DRUG/NARCOTIC,-122.41965834371,37.7642205603745,2
VANDALISM,-122.404992126126,37.769716305198,6
OTHER OFFENSES,-122.413609328985,37.784696907904,0
SUSPICIOUS OCC,-122.481565720329,37.7511920944566,17
SUSPICIOUS OCC,-122.434075846783,37.71338111955721,13
DISORDERLY CONDUCT,-122.40627707398701,37.770700025011394,7
"SEX OFFENSES, FORCIBLE",-122.397337596822,37.778893493386,14
NON-CRIMINAL,-122.467219261894,37.777086150547106,16
VEHICLE THEFT,-122.40340479147899,37.775420706711,12
OTHER OFFENSES,-122.412527239682,37.808625059546706,12
NON-CRIMINAL,-122.477443788773,37.7373588674449,13
VANDALISM,-122.41033761357599,37.8065128768551,12
VEHICLE THEFT,-122.40738268650601,37.783371636824896,23
SECONDARY CODES,-122.415088721046,37.7836719564372,15
NON-CRIMINAL,-122.382742108888,37.7399451834026,0
OTHER OFFENSES,-122.442127045623,37.7149977234776,19
NON-CRIMINAL,-122.407051190493,37.7832636870331,17
WARRANTS,-122.42535076491,37.7722825266526,22
ASSAULT,-122.420523936293,37.7901172490517,17
SUSPICIOUS OCC,-122.41692789763701,37.7800271644089,21
NON-CRIMINAL,-122.420307355721,37.788698951164704,23
OTHER OFFENSES,-122.395848299154,37.7813210474369,19
OTHER OFFENSES,-122.425793479077,37.7359856777471,22
SUSPICIOUS OCC,-122.40340479147899,37.775420706711,12
ASSAULT,-122.39057495758499,37.7616527682409,13
OTHER OFFENSES,-122.389157648381,37.7150823097899,0
ASSAULT,-122.414433155063,37.7846576329256,22
NON-CRIMINAL,-122.41371122073,37.7796660426062,6
BURGLARY,-122.43715909165701,37.775975349305504,17
WEAPON LAWS,-122.454248940382,37.7902563662996,11
OTHER OFFENSES,-122.408068345148,37.7839916768161,9
WARRANTS,-122.41431785788099,37.7799444052046,18
VEHICLE THEFT,-122.410661460251,37.8074277511648,0
FRAUD,-122.408496298209,37.786296190453,18
"SEX OFFENSES, FORCIBLE",-122.406539115148,37.7564864109309,9
OTHER OFFENSES,-122.459997768552,37.78022639261339,0
NON-CRIMINAL,-122.42566556683701,37.7691019900231,16
BURGLARY,-122.409651929606,37.761842583553204,3
OTHER OFFENSES,-122.389865610332,37.73716994462029,7
ASSAULT,-122.413045971966,37.7738617771611,0
ASSAULT,-122.421685487687,37.7745991401929,7
WEAPON LAWS,-122.410157073911,37.784297384331204,23
VEHICLE THEFT,-122.411278054259,37.7566750455245,8
ASSAULT,-122.388078475154,37.7324430442707,1
NON-CRIMINAL,-122.413189430011,37.77127369135761,22
SECONDARY CODES,-122.414457764634,37.7765080370233,22
OTHER OFFENSES,-122.431371314076,37.7219675742406,0
VEHICLE THEFT,-122.40196046442699,37.7482157273485,21
